,order_date,order_id,customer,grand_total
0,2011-09-07,CA-2011-100006,Dennis Kane,378
1,2011-07-08,CA-2011-100090,Ed Braxton,699
2,2011-03-14,CA-2011-100293,Neil Franz�sisch,91
3,2011-01-29,CA-2011-100328,Jasper Cacioppo,4
4,2011-04-08,CA-2011-100363,Jim Mitchum,21
5,2011-05-25,CA-2011-100391,Barry Weirich,15
6,2011-04-18,CA-2011-100678,Kunst Miller,697
7,2011-12-16,CA-2011-100706,Laurel Elliston,129
8,2011-11-24,CA-2011-100762,Nat Gilpin,509
9,2011-03-26,CA-2011-100860,Cindy Stewart,19
10,2011-10-19,CA-2011-100867,Eugene Hildebrand,322
11,2011-03-28,CA-2011-100881,Daniel Raglin,302
12,2011-06-02,CA-2011-100895,Stewart Visinsky,605
13,2011-10-21,CA-2011-100916,Frank Hawley,789
14,2011-11-19,CA-2011-100972,Dennis Bolton,166
15,2011-12-02,CA-2011-101147,Matt Collins,2
16,2011-12-09,CA-2011-101175,Dario Medina,101
17,2011-08-27,CA-2011-101266,Michael Moore,13
18,2011-12-22,CA-2011-101364,Tamara Willingham,297
19,2011-12-07,CA-2011-101392,Ann Steele,269
20,2011-12-26,CA-2011-101427,Andy Yotov,8
21,2011-04-20,CA-2011-101462,Benjamin Patterson,60
22,2011-09-12,CA-2011-101476,Shirley Daniels,70
23,2011-11-28,CA-2011-101560,Chris Selesnick,542
24,2011-12-15,CA-2011-101602,Mick Crebagga,804
25,2011-03-31,CA-2011-101770,Karen Bern,2
26,2011-11-17,CA-2011-101833,Frank Gastineau,34
27,2011-10-28,CA-2011-101931,Todd Sumrall,1253
28,2011-09-30,CA-2011-102008,Russell Applegate,49
29,2011-10-04,CA-2011-102085,Joy Daniels,29
30,2011-11-21,CA-2011-102274,Dave Hallsten,866
31,2011-11-24,CA-2011-102295,Erica Hackney,121
32,2011-12-29,CA-2011-102330,Arianne Irving,409
33,2011-01-24,CA-2011-102645,Ionia McGrath,40
34,2011-04-06,CA-2011-102652,Andy Yotov,200
35,2011-11-01,CA-2011-102673,Ken Heidel,1044
36,2011-09-09,CA-2011-102869,Logan Currie,233
37,2011-04-05,CA-2011-102988,Greg Maxwell,4252
38,2011-07-23,CA-2011-103058,Alejandro Grove,100
39,2011-10-17,CA-2011-103086,Evan Bailliet,5
40,2011-12-20,CA-2011-103100,Adrian Barton,1108
41,2011-09-22,CA-2011-103191,Vivek Grady,332
42,2011-11-09,CA-2011-103219,Benjamin Farhat,57
43,2011-05-10,CA-2011-103310,Greg Matthias,1770
44,2011-07-05,CA-2011-103317,Don Miller,243
45,2011-08-26,CA-2011-103331,Karl Braun,31
46,2011-01-16,CA-2011-103366,Erica Hackney,150
47,2011-05-18,CA-2011-103373,Bruce Stewart,780
48,2011-11-21,CA-2011-103401,Georgia Rosenberg,13
49,2011-05-30,CA-2011-103429,Laurel Workman,765
50,2011-10-10,CA-2011-103492,Craig Molinari,1489
51,2011-09-09,CA-2011-103527,Chris Cortes,11
52,2011-11-30,CA-2011-103590,Jeremy Lonsdale,62
53,2011-08-25,CA-2011-103660,Mitch Webber,1008
54,2011-09-12,CA-2011-103702,Art Foster,64
55,2011-02-24,CA-2011-103744,Michael Grace,11
56,2011-01-04,CA-2011-103800,Darren Powers,16
57,2011-12-02,CA-2011-103807,Elizabeth Moffitt,21
58,2011-05-11,CA-2011-103849,Paul Gonzalez,225
59,2011-09-17,CA-2011-103940,Bradley Nguyen,261
60,2011-03-19,CA-2011-103989,Matt Connell,591
61,2011-08-25,CA-2011-104178,Janet Molinari,176
62,2011-03-01,CA-2011-104269,Dave Brooks,458
63,2011-06-27,CA-2011-104283,Liz MacKendrick,616
64,2011-06-17,CA-2011-104402,Duane Benoit,66
65,2011-06-02,CA-2011-104472,Christine Kargatis,133
66,2011-03-07,CA-2011-104563,Craig Molinari,1144
67,2011-12-30,CA-2011-104738,Stefania Perrino,610
68,2011-12-08,CA-2011-104773,Thomas Boland,60
69,2011-05-21,CA-2011-104780,Bradley Talbott,32
70,2011-02-05,CA-2011-104808,Mark Haberlin,17
71,2011-11-18,CA-2011-104829,John Grady,22
72,2011-12-09,CA-2011-104976,Cyma Kinney,35
73,2011-09-07,CA-2011-105165,Sam Zeldin,469
74,2011-04-04,CA-2011-105172,Paul Knutson,19
75,2011-11-28,CA-2011-105249,Duane Huffman,460
76,2011-11-11,CA-2011-105270,Arthur Prichep,143
77,2011-11-22,CA-2011-105340,Evan Henry,7
78,2011-01-08,CA-2011-105417,Vivek Sundaresam,87
79,2011-03-03,CA-2011-105648,Eva Jacobs,626
80,2011-05-30,CA-2011-105872,James Galang,70
81,2011-11-11,CA-2011-105893,Pete Kriz,666
82,2011-11-24,CA-2011-105984,Muhammed Yedwab,1661
83,2011-01-07,CA-2011-106054,Jack O'Briant,13
84,2011-06-07,CA-2011-106229,Nick Radford,269
85,2011-12-26,CA-2011-106264,Clytie Kelty,15
86,2011-12-05,CA-2011-106376,Brendan Sweed,1281
87,2011-10-31,CA-2011-106439,Greg Guthrie,1008
88,2011-09-05,CA-2011-106572,Nora Preis,264
89,2011-08-24,CA-2011-106719,Robert Barroso,8
90,2011-12-06,CA-2011-106726,Roland Schwarz,1261
91,2011-12-29,CA-2011-106803,Debra Catini,144
92,2011-05-14,CA-2011-106810,Anthony Johnson,311
93,2011-09-02,CA-2011-106971,Bryan Mills,476
94,2011-07-05,CA-2011-107139,Dennis Pardue,181
95,2011-09-28,CA-2011-107153,George Zrebassa,46
96,2011-02-05,CA-2011-107181,Deborah Brumfield,117
97,2011-08-25,CA-2011-107398,Brendan Sweed,30
98,2011-11-02,CA-2011-107454,Roger Demir,124
99,2011-03-02,CA-2011-107524,Kristina Nunn,48
100,2011-12-12,CA-2011-107573,Philip Brown,23
101,2011-07-02,CA-2011-107594,Eric Hoffmann,80
102,2011-02-15,CA-2011-107706,Shui Tom,16
103,2011-02-08,CA-2011-107755,Cyma Kinney,115
104,2011-10-28,CA-2011-107769,Bill Tyler,258
105,2011-04-29,CA-2011-107811,Laura Armstrong,662
106,2011-09-08,CA-2011-107818,Marc Crier,1772
107,2011-08-24,CA-2011-107916,Jennifer Patt,26
108,2011-06-08,CA-2011-108147,Rick Duston,1745
109,2011-02-07,CA-2011-108182,Delfina Latchford,9
110,2011-10-02,CA-2011-108189,Erin Smith,598
111,2011-12-16,CA-2011-108273,Ed Jacobs,93
112,2011-10-31,CA-2011-108609,Anthony Jacobs,1422
113,2011-10-24,CA-2011-108707,Daniel Byrd,10
114,2011-05-28,CA-2011-108861,Magdelene Morse,137
115,2011-10-03,CA-2011-108903,Denny Ordway,213
116,2011-08-15,CA-2011-109043,Christine Sundaresam,244
117,2011-12-21,CA-2011-109127,John Castell,17
118,2011-11-05,CA-2011-109134,Deanra Eno,20
119,2011-06-30,CA-2011-109218,Anthony Rawles,32
120,2011-01-14,CA-2011-109232,Natalie DeCherney,546
121,2011-08-12,CA-2011-109302,Charles Sheldon,196
122,2011-02-21,CA-2011-109491,Linda Cazamias,83
123,2011-10-06,CA-2011-109680,Victoria Pisteka,386
124,2011-09-01,CA-2011-109855,Lena Hernandez,381
125,2011-07-21,CA-2011-109890,Patrick Gardner,36
126,2011-08-12,CA-2011-109897,Ben Wallace,892
127,2011-07-14,CA-2011-109904,Barbara Fisher,18
128,2011-09-07,CA-2011-109918,Lisa Ryan,132
129,2011-12-09,CA-2011-109932,Victoria Pisteka,248
130,2011-12-06,CA-2011-110030,Luke Foster,24
131,2011-08-05,CA-2011-110065,Stephanie Phelps,152
132,2011-10-22,CA-2011-110072,Maureen Gastineau,94
133,2011-04-25,CA-2011-110100,Lena Creighton,302
134,2011-07-12,CA-2011-110184,Ben Ferrer,506
135,2011-05-05,CA-2011-110219,Emily Burns,128
136,2011-11-23,CA-2011-110352,Emily Ducich,24
137,2011-10-18,CA-2011-110408,Alan Schoenberger,2217
138,2011-01-22,CA-2011-110422,Tom Boeckenhauer,25
